condition,kind,rate,WER,CER,ExactMatch
clean,clean,0.0,3.176542455711668,1.7327032594208167,88.66666666666667
substitute_5pct,substitute,0.05,12.522907758094073,7.415485278080698,58.333333333333336
substitute_10pct,substitute,0.1,17.532070861331704,11.450381679389313,47.66666666666667
substitute_20pct,substitute,0.2,39.218081857055594,26.25711862353084,19.666666666666664
delete_5pct,delete,0.05,8.979841172877215,4.931540046043863,66.66666666666666
delete_10pct,delete,0.1,15.821624923640806,9.729795225978432,50.33333333333333
delete_20pct,delete,0.2,33.781307269395235,22.77959529867927,22.666666666666664
insert_5pct,insert,0.05,5.558949297495419,3.210953592632982,80.66666666666666
insert_10pct,insert,0.1,8.674404398289553,5.464679510481037,73.33333333333333
insert_20pct,insert,0.2,19.547953573610265,13.72834120925724,51.33333333333333
