mode,label,n,WER,CER,PER,BLEU4,EM
clean,Overall,5000,128.33286556272805,94.46730757482354,103.40680204721811,0.012325716819450166,0.2
clean,Homophone,3912,127.15635881280053,95.28081667941343,104.80212235326849,0.012294426877818872,0.23006134969325154
clean,Non-Homophone,1088,134.81278538812788,90.34756836858413,96.55559350148802,0.012504924630715158,0.09191176470588235
raw,Overall,5000,116.71063710356442,84.71872795836873,92.89912497936272,0.011193668406782207,0.24
raw,Homophone,3912,115.61930028187697,84.8242609649852,93.33585048140456,0.010960294641390637,0.15337423312883436
raw,Non-Homophone,1088,122.72146118721462,84.18429206520275,90.75474459677025,0.010258366528826848,0.5514705882352942
